Assessment Name,URL,Description,Remote Support,Adaptive Support,Duration,Test Type
Cognitive Ability Test v1,https://www.shl.com/v1/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 1 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v2,https://www.shl.com/v2/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 2 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v3,https://www.shl.com/v3/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 3 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v4,https://www.shl.com/v4/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 4 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v5,https://www.shl.com/v5/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 5 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v6,https://www.shl.com/v6/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 6 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v7,https://www.shl.com/v7/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 7 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v8,https://www.shl.com/v8/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 8 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v9,https://www.shl.com/v9/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 9 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v10,https://www.shl.com/v10/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 10 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v11,https://www.shl.com/v11/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 11 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v12,https://www.shl.com/v12/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 12 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v13,https://www.shl.com/v13/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 13 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v14,https://www.shl.com/v14/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 14 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v15,https://www.shl.com/v15/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 15 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v16,https://www.shl.com/v16/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 16 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v17,https://www.shl.com/v17/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 17 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v18,https://www.shl.com/v18/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 18 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v19,https://www.shl.com/v19/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 19 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v20,https://www.shl.com/v20/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 20 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v21,https://www.shl.com/v21/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 21 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v22,https://www.shl.com/v22/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 22 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v23,https://www.shl.com/v23/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 23 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v24,https://www.shl.com/v24/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 24 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v25,https://www.shl.com/v25/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 25 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v26,https://www.shl.com/v26/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 26 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v27,https://www.shl.com/v27/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 27 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v28,https://www.shl.com/v28/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 28 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v29,https://www.shl.com/v29/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 29 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v30,https://www.shl.com/v30/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 30 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v31,https://www.shl.com/v31/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 31 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v32,https://www.shl.com/v32/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 32 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v33,https://www.shl.com/v33/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 33 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v34,https://www.shl.com/v34/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 34 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v35,https://www.shl.com/v35/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 35 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v36,https://www.shl.com/v36/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 36 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v37,https://www.shl.com/v37/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 37 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v38,https://www.shl.com/v38/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 38 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v39,https://www.shl.com/v39/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 39 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v40,https://www.shl.com/v40/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 40 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v41,https://www.shl.com/v41/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 41 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v42,https://www.shl.com/v42/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 42 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v43,https://www.shl.com/v43/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 43 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v44,https://www.shl.com/v44/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 44 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v45,https://www.shl.com/v45/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 45 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v46,https://www.shl.com/v46/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 46 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v47,https://www.shl.com/v47/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 47 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v48,https://www.shl.com/v48/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 48 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v49,https://www.shl.com/v49/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 49 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v50,https://www.shl.com/v50/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 50 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v51,https://www.shl.com/v51/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 51 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v52,https://www.shl.com/v52/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 52 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v53,https://www.shl.com/v53/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 53 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v54,https://www.shl.com/v54/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 54 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v55,https://www.shl.com/v55/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 55 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v56,https://www.shl.com/v56/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 56 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v57,https://www.shl.com/v57/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 57 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v58,https://www.shl.com/v58/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 58 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v59,https://www.shl.com/v59/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 59 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v60,https://www.shl.com/v60/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 60 tailored for different industries.,Yes,Yes,39,Soft Skills
